months_as_customer,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_hour_of_the_day,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported,days_to_claim
413,1991-02-08,100/300,2000,1268.79,0,MD,priv-house-serv,0,-31000,Single Vehicle Collision,Total Loss,Ambulance,15,NO,2,2,NO,8180,16360,73620,Y,8746
237,1996-02-02,100/300,1000,883.31,0,College,craft-repair,0,-53500,Single Vehicle Collision,Minor Damage,Other,6,NO,1,3,NO,7080,14160,56640,N,6962
8,2013-12-05,100/300,2000,1266.92,0,Masters,sales,0,0,Multi-vehicle Collision,Major Damage,Other,16,NO,1,3,YES,16500,11000,44000,Y,400
257,1990-09-20,100/300,2000,1322.1,0,High School,prof-specialty,0,-29200,Parked Car,Minor Damage,Police,4,YES,1,3,YES,1640,820,6560,N,8896
202,2002-07-18,100/300,500,848.07,3000000,JD,exec-managerial,31000,-30200,Vehicle Theft,Minor Damage,,5,YES,2,1,NO,1040,520,4160,Y,4556
224,1990-02-08,100/300,2000,1291.7,0,JD,sales,0,-55600,Single Vehicle Collision,Minor Damage,Other,21,NO,1,0,YES,7760,15520,46560,N,9100
241,2014-03-04,500/1000,2000,1104.5,0,PhD,machine-op-inspct,0,0,Single Vehicle Collision,Minor Damage,Police,5,NO,2,2,NO,14100,14100,63450,N,348
64,2000-02-18,250/500,1000,954.16,0,Masters,prof-specialty,53200,0,Multi-vehicle Collision,Major Damage,Ambulance,22,NO,0,0,NO,12600,12600,50400,N,5448
166,2008-06-19,100/300,2000,1337.28,8000000,JD,craft-repair,27500,0,Multi-vehicle Collision,Major Damage,Police,10,NO,2,2,NO,7460,7460,52220,Y,2445
155,2003-08-01,500/1000,1000,1088.34,0,Associate,adm-clerical,81100,0,Multi-vehicle Collision,Total Loss,Police,16,YES,2,3,NO,3310,3310,23170,N,4225
114,1992-04-04,100/300,1000,1558.29,0,High School,farming-fishing,51400,-64000,Multi-vehicle Collision,Major Damage,Ambulance,1,NO,1,2,NO,14020,14020,49070,N,8315
149,1991-01-13,500/1000,500,1415.68,0,PhD,prof-specialty,0,0,Single Vehicle Collision,Total Loss,Fire,17,YES,0,1,YES,10800,5400,48600,N,8796
147,2010-08-08,100/300,1000,1334.15,6000000,High School,craft-repair,53300,-49200,Single Vehicle Collision,Major Damage,Other,15,YES,2,0,YES,10620,5310,37170,Y,1630
62,2003-03-09,100/300,1000,988.45,0,Masters,protective-serv,0,0,Single Vehicle Collision,Total Loss,Police,3,NO,1,1,YES,6020,6020,48160,Y,4324
289,1993-02-03,500/1000,2000,1222.48,0,JD,priv-house-serv,0,0,Parked Car,Minor Damage,,16,NO,1,1,YES,1230,820,3280,N,8019
431,2002-11-25,500/1000,2000,1155.55,0,MD,craft-repair,65700,0,Multi-vehicle Collision,Major Damage,Police,4,NO,2,0,NO,12460,6230,43610,N,4440
199,1997-07-27,250/500,500,1262.08,0,JD,tech-support,48500,0,Single Vehicle Collision,Major Damage,Ambulance,4,NO,0,3,NO,10940,10940,38290,Y,6374
79,1995-05-08,100/300,500,1451.62,0,Associate,tech-support,0,-55700,Single Vehicle Collision,Minor Damage,Ambulance,19,NO,2,2,NO,8000,4000,28000,N,7180
116,2012-08-30,250/500,500,1737.66,0,Associate,transport-moving,0,-24100,Single Vehicle Collision,Major Damage,Police,1,NO,1,1,NO,16180,16180,64720,Y,854
37,2006-04-30,500/1000,500,1475.93,0,College,prof-specialty,0,-67400,Multi-vehicle Collision,Minor Damage,Other,17,YES,1,0,NO,5740,5740,40180,N,3183
106,2003-04-13,250/500,500,538.17,0,PhD,transport-moving,49700,-60200,Single Vehicle Collision,Total Loss,Other,23,NO,2,2,NO,5680,5680,39760,N,4321
269,2007-12-05,100/300,2000,1081.08,0,JD,priv-house-serv,36400,-28700,Single Vehicle Collision,Minor Damage,Other,14,YES,0,2,NO,11280,11280,33840,N,2628
265,2006-08-21,250/500,1000,1454.43,0,MD,protective-serv,0,0,Multi-vehicle Collision,Total Loss,Other,17,NO,2,3,NO,6890,0,48230,N,3106
163,1990-01-08,100/300,500,1240.47,0,Associate,other-service,35300,0,Multi-vehicle Collision,Total Loss,Fire,11,YES,1,1,NO,0,14020,63090,N,9172
355,1990-03-18,500/1000,2000,1273.7,4000000,College,other-service,0,0,Multi-vehicle Collision,Major Damage,Fire,19,NO,2,1,NO,6280,6280,50240,Y,9064
175,2008-01-07,500/1000,1000,1123.87,8000000,PhD,protective-serv,0,0,Vehicle Theft,Trivial Damage,Police,5,NO,2,0,YES,810,810,5670,N,2607
192,1997-03-10,100/300,1000,1245.89,0,Masters,exec-managerial,0,-40300,Single Vehicle Collision,Total Loss,Other,19,NO,0,0,NO,15320,7660,53620,N,6506
430,2004-01-10,250/500,2000,1326.62,7000000,MD,other-service,0,0,Multi-vehicle Collision,Minor Damage,Fire,19,NO,0,3,YES,16360,8180,57260,N,4011
91,1994-08-20,100/300,2000,1073.83,0,JD,farming-fishing,0,0,Vehicle Theft,Trivial Damage,,4,NO,1,2,NO,1320,660,5280,N,7455
217,2002-06-02,100/300,1000,1530.52,0,College,armed-forces,0,0,Vehicle Theft,Minor Damage,,8,NO,2,1,YES,430,430,3440,N,4648
223,1994-04-28,100/300,500,1201.41,0,JD,priv-house-serv,88400,-46500,Multi-vehicle Collision,Major Damage,Police,7,YES,1,0,NO,12820,12820,44870,N,7579
195,2014-08-17,250/500,1000,1393.57,0,PhD,machine-op-inspct,47600,-39600,Parked Car,Minor Damage,Police,5,NO,0,1,YES,480,480,1680,N,194
22,2007-08-11,100/300,1000,1276.57,0,PhD,craft-repair,71500,0,Single Vehicle Collision,Minor Damage,Fire,3,YES,1,2,NO,15780,7890,55230,N,2705
439,2008-11-20,250/500,500,1082.49,0,PhD,prof-specialty,36100,-55000,Multi-vehicle Collision,Major Damage,Fire,12,NO,2,3,NO,0,6270,50160,N,2291
94,1995-10-18,500/1000,1000,1414.74,0,Masters,adm-clerical,0,0,Parked Car,Minor Damage,,19,NO,1,3,NO,300,300,1800,N,7067
11,1993-05-19,250/500,2000,1470.06,0,PhD,other-service,56600,-45800,Single Vehicle Collision,Total Loss,Ambulance,22,YES,0,1,NO,7310,7310,51170,N,7903
151,2005-02-26,250/500,2000,870.63,0,MD,adm-clerical,94800,-58500,Multi-vehicle Collision,Minor Damage,Police,12,NO,1,1,NO,11440,5720,45760,N,3601
154,1990-02-14,100/300,500,795.23,0,PhD,machine-op-inspct,36900,0,Multi-vehicle Collision,Major Damage,Police,15,YES,2,1,NO,15440,0,54040,Y,9096
245,1993-09-30,500/1000,1000,1168.2,0,JD,handlers-cleaners,69100,0,Multi-vehicle Collision,Total Loss,Other,23,NO,0,3,NO,7380,3690,33210,N,7804
119,2014-06-10,500/1000,1000,993.51,0,High School,armed-forces,0,-49500,Single Vehicle Collision,Minor Damage,Other,12,NO,0,3,YES,5630,11260,39410,N,216
215,2008-10-28,500/1000,500,1848.81,0,JD,transport-moving,0,-49000,Multi-vehicle Collision,Major Damage,Fire,20,YES,2,2,YES,11420,5710,51390,Y,2292
295,2007-04-24,250/500,2000,1641.73,5000000,PhD,sales,62400,0,Multi-vehicle Collision,Total Loss,Fire,16,NO,0,0,NO,6570,6570,45990,Y,2828
254,1993-12-13,100/300,500,1362.87,0,MD,exec-managerial,35700,0,Multi-vehicle Collision,Minor Damage,Ambulance,6,YES,2,2,NO,13720,6860,61740,Y,7741
107,2011-08-17,250/500,500,1239.22,7000000,High School,tech-support,43400,-91200,Single Vehicle Collision,Minor Damage,Fire,12,YES,0,1,NO,13800,13800,62100,Y,1262
478,1990-08-20,250/500,500,835.02,0,Associate,adm-clerical,59600,0,Multi-vehicle Collision,Minor Damage,Fire,17,NO,1,1,NO,0,3770,30160,N,8932
128,1994-02-11,100/300,1000,1061.33,0,MD,machine-op-inspct,43300,-66200,Single Vehicle Collision,Major Damage,Ambulance,8,NO,0,3,NO,12460,6230,49840,N,7638
338,1994-02-22,500/1000,1000,1279.08,0,MD,other-service,0,-51500,Parked Car,Minor Damage,,13,NO,0,1,NO,860,860,2580,N,7675
271,2011-08-15,100/300,500,1105.49,0,Associate,prof-specialty,56200,-50000,Multi-vehicle Collision,Major Damage,Other,12,NO,2,3,NO,12420,6210,49680,Y,1285
222,1998-11-11,100/300,2000,1055.53,0,MD,armed-forces,37800,-50300,Single Vehicle Collision,Total Loss,Other,7,NO,0,2,NO,6810,6810,47670,Y,5933
199,1995-12-04,250/500,1000,895.83,0,Associate,sales,0,0,Single Vehicle Collision,Minor Damage,Ambulance,10,NO,1,2,NO,3010,0,27090,N,7009
215,2002-12-28,100/300,500,1632.93,0,College,transport-moving,0,-42900,Multi-vehicle Collision,Minor Damage,Fire,7,NO,2,0,YES,9520,4760,42840,N,4440
192,2004-04-15,100/300,1000,1405.99,0,Associate,sales,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,18,YES,1,0,YES,9540,4770,28620,N,3972
120,2001-02-02,100/300,1000,1425.54,0,High School,transport-moving,78300,0,Multi-vehicle Collision,Total Loss,Ambulance,22,NO,2,0,NO,11380,5690,34140,N,5095
270,2010-01-12,500/1000,1000,1038.09,0,College,handlers-cleaners,0,-19700,Multi-vehicle Collision,Minor Damage,Fire,18,NO,1,1,YES,14900,7450,67050,N,1828
319,1992-04-14,250/500,500,1307.11,0,College,transport-moving,0,0,Multi-vehicle Collision,Total Loss,Police,22,NO,0,2,NO,10860,10860,38010,N,8344
194,2010-05-21,500/1000,1000,1489.24,6000000,JD,other-service,0,-45000,Vehicle Theft,Minor Damage,,15,YES,2,2,YES,1240,1240,5580,N,1709
227,2013-10-27,500/1000,500,976.67,0,PhD,handlers-cleaners,0,0,Single Vehicle Collision,Major Damage,Fire,16,NO,1,2,NO,14440,7220,50540,Y,451
137,1994-10-12,250/500,2000,1340.43,0,High School,exec-managerial,52700,-40600,Multi-vehicle Collision,Minor Damage,Ambulance,6,NO,1,2,NO,10160,10160,30480,N,7435
244,1997-07-04,500/1000,2000,1267.81,5000000,Masters,exec-managerial,0,0,Vehicle Theft,Trivial Damage,,10,NO,2,1,NO,660,1320,4620,N,6392
78,2011-02-15,250/500,1000,1234.2,6000000,Masters,other-service,0,0,Vehicle Theft,Minor Damage,Police,3,YES,2,2,NO,750,1500,5250,N,1444
200,1994-08-21,250/500,2000,1318.06,0,High School,exec-managerial,57300,-80600,Vehicle Theft,Trivial Damage,,13,NO,0,3,YES,1180,1180,4130,N,7456
284,1997-05-15,500/1000,2000,769.95,0,Masters,prof-specialty,0,-44200,Multi-vehicle Collision,Major Damage,Ambulance,16,NO,2,3,NO,5540,11080,44320,Y,6458
275,1996-10-26,100/300,2000,1514.72,0,High School,transport-moving,35700,0,Multi-vehicle Collision,Major Damage,Fire,13,YES,0,1,NO,5830,11660,40810,N,6673
153,2006-03-04,500/1000,1000,873.64,4000000,Associate,priv-house-serv,800,0,Multi-vehicle Collision,Minor Damage,Other,9,NO,2,1,NO,11400,11400,45600,N,3254
134,1991-01-02,500/1000,500,1612.43,0,MD,other-service,36400,0,Single Vehicle Collision,Total Loss,Fire,2,NO,2,1,YES,11680,11680,40880,N,8772
31,1999-08-15,500/1000,2000,1318.24,9000000,College,prof-specialty,0,-78600,Parked Car,Trivial Damage,,9,NO,0,1,YES,940,470,3290,N,5647
41,1992-01-15,100/300,1000,1226.83,0,College,exec-managerial,0,-56100,Multi-vehicle Collision,Major Damage,Other,12,YES,2,0,NO,0,5640,39480,Y,8393
127,1999-12-07,250/500,2000,1326.44,5000000,High School,sales,0,0,Multi-vehicle Collision,Total Loss,Fire,12,YES,1,1,NO,10300,10300,46350,N,5558
61,1993-06-06,250/500,2000,1136.83,4000000,Associate,tech-support,0,-62400,Single Vehicle Collision,Major Damage,Police,14,NO,0,3,NO,8940,17880,71520,Y,7911
207,2000-10-03,250/500,2000,1322.78,0,PhD,farming-fishing,55200,0,Parked Car,Trivial Damage,,9,NO,0,1,NO,590,590,4720,N,5261
219,2010-12-29,100/300,1000,1483.25,0,MD,exec-managerial,90700,-20800,Multi-vehicle Collision,Major Damage,Ambulance,3,NO,1,1,NO,5890,11780,53010,N,1503
271,1990-03-17,100/300,500,1515.3,0,High School,machine-op-inspct,0,0,Multi-vehicle Collision,Total Loss,Ambulance,21,NO,1,0,NO,17040,8520,68160,N,9074
80,2012-03-01,100/300,2000,1075.18,5000000,PhD,armed-forces,67700,-58400,Vehicle Theft,Minor Damage,,5,NO,2,0,YES,1260,630,5040,N,1087
325,2006-02-05,500/1000,1000,1690.27,0,Associate,protective-serv,61500,0,Single Vehicle Collision,Major Damage,Fire,11,YES,0,3,NO,6630,6630,59670,Y,3265
29,2014-11-01,250/500,2000,1352.83,0,Masters,farming-fishing,0,-71700,Multi-vehicle Collision,Minor Damage,Other,4,YES,1,2,YES,7210,7210,50470,Y,82
295,2009-06-17,250/500,1000,1148.73,0,College,machine-op-inspct,0,0,Parked Car,Trivial Damage,,6,NO,1,2,YES,900,900,3600,N,2076
239,1999-09-20,100/300,1000,969.5,0,College,exec-managerial,0,0,Vehicle Theft,Trivial Damage,,10,NO,0,0,NO,700,700,4200,N,5607
269,1990-10-19,100/300,500,1463.82,0,College,protective-serv,0,-72300,Single Vehicle Collision,Minor Damage,Police,23,YES,0,0,NO,15860,15860,47580,N,8863
80,1996-08-05,100/300,1000,1474.17,0,College,tech-support,0,0,Single Vehicle Collision,Major Damage,Police,13,YES,1,0,YES,10560,5280,36960,N,6772
279,2001-06-06,250/500,500,1497.35,0,JD,prof-specialty,37300,-31700,Multi-vehicle Collision,Minor Damage,Fire,16,NO,2,3,NO,0,3600,25200,N,4985
165,2007-03-25,100/300,1000,1427.14,0,Associate,tech-support,35300,-58100,Parked Car,Minor Damage,Police,3,NO,1,1,NO,330,330,2310,N,2884
350,2013-10-31,500/1000,500,1495.1,0,College,other-service,50500,0,Multi-vehicle Collision,Total Loss,Police,15,NO,0,0,NO,15580,7790,70110,N,469
295,1992-06-13,100/300,500,1141.62,0,College,prof-specialty,34300,-24300,Vehicle Theft,Minor Damage,,4,YES,1,3,YES,480,480,3360,N,8237
464,1990-10-07,500/1000,1000,1125.37,0,Associate,prof-specialty,0,-56400,Multi-vehicle Collision,Major Damage,Police,6,NO,0,2,YES,6650,19950,53200,Y,8864
118,1991-12-28,500/1000,2000,1207.36,0,High School,handlers-cleaners,0,-57000,Multi-vehicle Collision,Major Damage,Ambulance,22,NO,1,0,NO,7420,14840,51940,N,8464
298,1998-11-11,500/1000,2000,1338.5,0,PhD,machine-op-inspct,28800,0,Single Vehicle Collision,Major Damage,Fire,1,NO,0,0,NO,10860,10860,48870,Y,5927
87,2009-06-26,500/1000,1000,1074.07,0,Masters,sales,0,-47500,Multi-vehicle Collision,Major Damage,Fire,16,NO,0,3,YES,5540,11080,44320,Y,2041
261,2009-01-11,250/500,500,1337.56,0,College,prof-specialty,0,0,Single Vehicle Collision,Minor Damage,Police,18,NO,1,2,YES,7470,14940,52290,N,2192
453,2003-03-18,100/300,500,1298.91,6000000,PhD,craft-repair,52600,-38800,Single Vehicle Collision,Major Damage,Fire,0,YES,0,0,NO,14000,7000,49000,Y,4312
210,2012-11-02,500/1000,500,1222.75,0,High School,exec-managerial,0,-41000,Multi-vehicle Collision,Total Loss,Other,12,NO,2,0,NO,14740,14740,51590,N,819
168,2000-05-04,100/300,1000,1059.52,0,MD,protective-serv,0,-40600,Multi-vehicle Collision,Major Damage,Other,13,NO,1,1,NO,14430,9620,33670,N,5414
390,1999-09-29,250/500,2000,1124.38,0,Associate,armed-forces,0,0,Vehicle Theft,Minor Damage,,9,YES,1,1,YES,1180,1180,4720,N,5627
258,1999-03-09,100/300,1000,1110.37,10000000,MD,machine-op-inspct,34400,-56800,Multi-vehicle Collision,Total Loss,Other,14,NO,0,1,NO,4770,9540,33390,Y,5800
107,1991-02-13,500/1000,2000,1374.22,0,PhD,machine-op-inspct,62000,-63100,Single Vehicle Collision,Minor Damage,Police,16,NO,0,3,NO,9320,9320,32620,N,8779
225,1993-08-05,500/1000,2000,1103.58,0,High School,exec-managerial,41200,-36200,Multi-vehicle Collision,Major Damage,Police,20,NO,2,2,NO,6400,12800,51200,Y,7837
164,1997-10-31,250/500,2000,1269.76,0,PhD,transport-moving,44300,0,Single Vehicle Collision,Minor Damage,Fire,4,NO,1,3,YES,18000,9000,63000,N,6287
245,2001-04-21,250/500,500,964.79,8000000,Associate,adm-clerical,58000,0,Multi-vehicle Collision,Minor Damage,Police,7,NO,0,1,NO,13240,6620,52960,N,5053
255,2013-01-08,500/1000,2000,1167.3,4000000,High School,priv-house-serv,0,0,Single Vehicle Collision,Minor Damage,Fire,22,NO,2,0,NO,13860,13860,41580,N,775
206,2009-07-23,500/1000,500,1625.45,4000000,MD,other-service,0,-53700,Single Vehicle Collision,Major Damage,Ambulance,11,NO,2,1,NO,12760,12760,51040,Y,2010
203,1998-02-20,250/500,500,1394.43,0,Masters,other-service,0,0,Single Vehicle Collision,Major Damage,Ambulance,7,NO,0,1,YES,0,6160,49280,Y,6189
22,2008-03-13,250/500,2000,1053.24,0,College,prof-specialty,51100,0,Multi-vehicle Collision,Total Loss,Other,0,YES,1,0,NO,8570,17140,51420,N,2489
211,1996-08-20,100/300,500,1040.75,0,JD,prof-specialty,0,0,Single Vehicle Collision,Total Loss,Ambulance,1,YES,1,1,NO,7000,7000,28000,N,6741
206,2014-07-27,250/500,1000,1302.4,6000000,JD,craft-repair,47200,-69700,Multi-vehicle Collision,Total Loss,Ambulance,12,NO,2,3,YES,3300,9900,23100,N,205
166,1992-11-09,100/300,2000,1588.55,0,MD,protective-serv,59600,-32100,Single Vehicle Collision,Total Loss,Other,8,NO,0,0,NO,5760,5760,28800,N,8096
165,2012-06-04,500/1000,500,1399.26,0,High School,tech-support,70500,0,Parked Car,Minor Damage,Police,9,NO,2,0,NO,330,660,2970,N,979
274,2001-05-13,100/300,2000,1352.31,0,College,farming-fishing,40700,-47300,Single Vehicle Collision,Major Damage,Fire,22,YES,0,3,YES,10640,10640,42560,Y,5017
81,2011-09-17,250/500,1000,1139.0,6000000,Masters,sales,42400,0,Multi-vehicle Collision,Major Damage,Fire,0,NO,1,2,NO,4970,4970,34790,Y,1215
280,2011-07-15,250/500,1000,1397.67,0,JD,machine-op-inspct,57900,0,Multi-vehicle Collision,Minor Damage,Other,0,YES,1,2,NO,14120,14120,56480,N,1287
194,2005-07-27,250/500,500,823.17,0,Masters,adm-clerical,0,0,Multi-vehicle Collision,Major Damage,Other,3,NO,2,2,NO,6150,12300,43050,N,3498
112,2005-10-18,100/300,500,965.13,0,Masters,tech-support,60000,-54800,Multi-vehicle Collision,Major Damage,Ambulance,21,NO,0,1,NO,8500,8500,34000,N,3414
24,1996-01-19,500/1000,1000,1922.84,0,High School,machine-op-inspct,0,-45200,Single Vehicle Collision,Total Loss,Police,0,NO,2,1,NO,4680,9360,32760,N,6945
93,2005-09-29,250/500,2000,1624.82,0,PhD,exec-managerial,65300,-65600,Single Vehicle Collision,Minor Damage,Ambulance,16,NO,1,1,NO,17360,8680,52080,N,3420
171,1997-02-18,250/500,2000,1277.25,0,College,exec-managerial,84900,0,Single Vehicle Collision,Major Damage,Police,14,NO,1,2,NO,13840,6920,48440,Y,6544
200,2010-05-11,100/300,1000,1439.34,0,High School,sales,45300,-20400,Vehicle Theft,Minor Damage,Police,9,NO,0,0,NO,410,410,2870,N,1696
120,2009-02-06,250/500,1000,1281.27,0,PhD,tech-support,68900,0,Multi-vehicle Collision,Minor Damage,Fire,9,NO,0,3,NO,6550,6550,52400,N,2161
325,2013-07-09,500/1000,500,1348.83,0,High School,prof-specialty,46300,-77500,Multi-vehicle Collision,Minor Damage,Fire,21,NO,1,2,YES,13840,6920,55360,N,572
124,1992-06-06,250/500,1000,1198.15,0,MD,other-service,0,-43200,Multi-vehicle Collision,Total Loss,Other,19,NO,0,2,YES,12260,12260,49040,N,8295
211,1998-03-08,100/300,2000,1221.22,0,Masters,machine-op-inspct,76000,0,Single Vehicle Collision,Total Loss,Police,2,YES,0,1,NO,9460,4730,37840,N,6163
287,2004-03-29,500/1000,2000,968.74,0,Masters,transport-moving,0,-49000,Vehicle Theft,Trivial Damage,,9,NO,2,3,NO,470,940,3760,N,3948
122,2006-06-01,250/500,1000,1220.71,0,PhD,machine-op-inspct,58600,-28700,Parked Car,Minor Damage,,5,NO,2,1,YES,1890,1260,5040,N,3193
22,1994-06-08,250/500,2000,1238.62,6000000,MD,exec-managerial,0,-56200,Single Vehicle Collision,Major Damage,Ambulance,14,NO,2,3,NO,7080,14160,49560,Y,7556
106,1998-02-12,500/1000,2000,1320.75,0,JD,farming-fishing,54100,0,Multi-vehicle Collision,Total Loss,Police,20,NO,0,3,YES,5070,5070,35490,N,6198
398,2000-11-16,100/300,500,990.98,0,Associate,exec-managerial,0,-57900,Single Vehicle Collision,Major Damage,Police,18,YES,2,1,NO,7640,15280,76400,Y,5191
214,2004-10-24,500/1000,500,1398.51,4000000,Masters,tech-support,0,-57100,Multi-vehicle Collision,Major Damage,Fire,13,NO,2,0,NO,12800,6400,44800,Y,3752
209,2009-11-08,100/300,500,1355.08,0,MD,other-service,58100,0,Single Vehicle Collision,Minor Damage,Fire,21,NO,1,1,NO,4730,4730,37840,N,1898
82,1996-09-21,100/300,1000,1384.51,0,PhD,adm-clerical,13100,-38200,Single Vehicle Collision,Major Damage,Other,14,NO,2,3,NO,8960,8960,53760,Y,6724
193,1995-07-16,250/500,500,847.03,0,JD,craft-repair,0,0,Single Vehicle Collision,Major Damage,Other,1,NO,1,0,YES,17280,17280,77760,Y,7147
134,2001-06-09,100/300,1000,1000.06,0,PhD,farming-fishing,0,0,Single Vehicle Collision,Total Loss,Other,17,NO,1,0,NO,7520,15040,60160,N,4962
288,2002-10-06,100/300,1000,1046.71,0,Masters,priv-house-serv,0,0,Multi-vehicle Collision,Major Damage,Fire,4,NO,2,1,NO,10680,5340,32040,N,4527
104,1997-07-14,250/500,500,1158.03,0,High School,exec-managerial,31900,-44600,Multi-vehicle Collision,Total Loss,Police,23,YES,1,3,YES,9780,9780,44010,Y,6387
431,1994-11-11,100/300,1000,1372.27,0,Masters,craft-repair,17600,0,Multi-vehicle Collision,Total Loss,Fire,13,NO,2,3,NO,10540,10540,42160,N,7363
101,2012-06-23,100/300,1000,1053.04,7000000,Masters,other-service,52000,-44500,Multi-vehicle Collision,Minor Damage,Ambulance,20,NO,1,3,NO,9040,9040,36160,Y,976
375,2007-02-18,100/300,1000,1275.39,0,Associate,sales,0,0,Single Vehicle Collision,Major Damage,Police,16,YES,2,3,NO,0,0,37280,Y,2916
461,2005-06-27,100/300,2000,1402.75,0,JD,exec-managerial,0,0,Multi-vehicle Collision,Minor Damage,Police,10,NO,2,1,YES,7210,14420,50470,N,3523
428,1999-09-29,250/500,500,1344.36,7000000,JD,prof-specialty,0,0,Parked Car,Minor Damage,,8,NO,2,3,NO,1300,650,4550,N,5609
45,2006-05-14,100/300,1000,1197.71,0,Masters,machine-op-inspct,29000,0,Multi-vehicle Collision,Total Loss,Ambulance,17,NO,2,0,NO,13040,13040,52160,N,3198
136,2010-04-29,100/300,500,1203.24,0,JD,transport-moving,62500,-66900,Vehicle Theft,Minor Damage,Police,9,NO,2,0,NO,1240,620,4340,N,1743
